document_id,Customer_ID,Claim_ID,upload_time,file_type,file_size_kb,document_type,ocr_text,duplicate_group_id,linked_identity_change,document_similarity_score,document_similarity_flag
DOC-00001,CUST017562,CLM025767,2026-09-07 20:35:30,DOCX,172,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Allison Hill. ID Number: 792-38-1308. Date of Birth: 2000-04-26. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-12-14. Additional photographic evidence submitted separately. Handled by branch office during standard working hours.,,1,0.687,LOW
DOC-00002,CUST002229,CLM039534,2026-05-06 20:35:30,DOCX,4223,investigation_note,INVESTIGATION NOTE. Case relates to claimant Matthew Foster. Flagged for review due to unusual document upload pattern following identity change on 2025-02-28. Staff override recorded by Pamela Moncivais.,DUPGRP-001,1,0.985,HIGH
DOC-00003,CUST012588,CLM012637,2026-09-16 20:35:30,PDF,1877,investigation_note,INVESTIGATION NOTE. Case relates to claimant Matthew Foster. Flagged for review due to unusual document upload pattern following identity change on 2025-04-05. Staff override recorded by Pamela Moncivais.,DUPGRP-001,1,0.985,HIGH
DOC-00004,CUST003244,CLM027608,2026-07-05 20:35:30,PNG,4267,investigation_note,INVESTIGATION NOTE. Case relates to claimant Shane Henderson. Flagged for review due to unusual document upload pattern following identity change on 2026-04-17. Staff override recorded by Joshua Blair. Follow-up scheduled with the claims handler within 5 working days.,,1,0.823,MEDIUM
DOC-00005,CUST006072,CLM002862,2026-08-09 20:35:30,DOCX,4185,kyc_update,"KYC UPDATE FORM. Customer: Carmen Smith. Previous Address: 5107 Charles Forest Suite 251, West Justin, NV 71701. New Address: 841 Joseph Coves, West Juan, IL 94559. Reason for change: relocation. Verified by staff member on 2026-05-05. Additional photographic evidence submitted separately.",,1,0.425,LOW
DOC-00006,CUST009778,CLM014425,2026-05-14 20:35:30,PDF,1254,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Michael Farrell. ID Number: 886-21-2901. Date of Birth: 2001-10-31. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-07-07. Additional photographic evidence submitted separately. Supporting documents received by email attachment.,,1,0.676,LOW
DOC-00007,CUST017920,CLM041882,2026-03-25 20:35:30,PNG,702,investigation_note,INVESTIGATION NOTE. Case relates to claimant Jeffrey Chandler. Flagged for review due to unusual document upload pattern following identity change on 2025-02-17. Staff override recorded by Larry Dixon. Additional photographic evidence submitted separately. Supporting documents received by email attachment.,,1,0.801,MEDIUM
DOC-00008,CUST014397,CLM035028,2026-06-09 20:35:30,PNG,3713,investigation_note,INVESTIGATION NOTE. Case relates to claimant Robert Dominguez. Flagged for review due to unusual document upload pattern following identity change on 2026-04-25. Staff override recorded by Mary Baker.,DUPGRP-002,1,0.98,HIGH
DOC-00009,CUST012252,CLM027675,2026-06-02 20:35:30,JPG,3552,investigation_note,INVESTIGATION NOTE. Case relates to claimant Robert Dominguez. Flagged for review due to unusual document upload pattern following identity change on 2025-05-19. Staff override recorded by Mary Baker.,DUPGRP-002,1,1.0,HIGH
DOC-00010,CUST015009,CLM030012,2026-04-27 20:35:30,PNG,4104,investigation_note,INVESTIGATION NOTE. Case relates to claimant Robert Dominguez. Flagged for review due to unusual document upload pattern following identity change on 2025-05-19. Staff override recorded by Mary Baker.,DUPGRP-002,1,1.0,HIGH
DOC-00011,CUST014824,CLM019857,2026-06-09 20:35:30,DOCX,2315,claim_form,"INSURANCE CLAIM FORM. Claimant: Gabriel Juarez. Policy Number: POL-173680. Date of Incident: 2024-11-18. Description: Vehicle damage sustained in a collision on Catherine Summit. Estimated repair cost: N$ 6,916. Signed: Gabriel Juarez. Supporting documents received by email attachment.",,1,0.353,LOW
DOC-00012,CUST015131,CLM048621,2026-08-31 20:35:30,JPG,1743,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Tyler Reid. ID Number: 181-94-8549. Date of Birth: 2006-09-16. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-01-19.,DUPGRP-003,1,1.0,HIGH
DOC-00013,CUST008657,CLM047294,2026-05-10 20:35:30,JPG,4397,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Tyler Reid. ID Number: 181-94-8549. Date of Birth: 2006-09-16. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-01-19.,DUPGRP-003,1,1.0,HIGH
DOC-00014,CUST016520,CLM018317,2026-07-08 20:35:30,JPG,3344,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Tyler Reid. ID Number: 181-94-8549. Date of Birth: 2006-09-16. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-01-19.,DUPGRP-003,1,1.0,HIGH
DOC-00015,CUST007168,CLM018470,2026-05-23 20:35:30,PNG,384,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Cynthia Alvarez. ID Number: 588-37-7691. Date of Birth: 1978-06-23. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2024-12-30. Customer contacted via telephone for confirmation. Follow-up scheduled with the claims handler within 5 working days.,,1,0.669,LOW
DOC-00016,CUST011024,CLM001508,2026-07-31 20:35:30,PNG,3388,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Elizabeth Chapman. ID Number: 312-90-6595. Date of Birth: 2005-05-21. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-01-11. Additional photographic evidence submitted separately.,,1,0.762,MEDIUM
DOC-00017,CUST014089,CLM030507,2026-07-17 20:35:30,JPG,1343,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Christopher Jenkins. ID Number: 484-32-7484. Date of Birth: 1982-09-07. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-03-25.,DUPGRP-004,1,0.81,MEDIUM
DOC-00018,CUST010067,CLM036625,2026-08-29 20:35:30,DOCX,1596,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Christopher Jenkins. ID Number: 834-98-9013. Date of Birth: 1952-11-02. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2026-05-18.,DUPGRP-004,1,0.815,MEDIUM
DOC-00019,CUST003358,CLM017507,2026-08-23 20:35:30,PDF,3019,claim_form,"INSURANCE CLAIM FORM. Claimant: Vincent Rivera. Policy Number: POL-564668. Date of Incident: 2026-08-04. Description: Vehicle damage sustained in a collision on Thomas Pines. Estimated repair cost: N$ 30,505. Signed: Vincent Rivera. Handled by branch office during standard working hours. Follow-up scheduled with the claims handler within 5 working days.",,1,0.71,MEDIUM
DOC-00020,CUST012086,CLM009146,2026-09-08 20:35:30,DOCX,1372,investigation_note,INVESTIGATION NOTE. Case relates to claimant William Barrett. Flagged for review due to unusual document upload pattern following identity change on 2025-09-22. Staff override recorded by Keith Jennings. Supporting documents received by email attachment. Handled by branch office during standard working hours.,,1,0.728,MEDIUM
DOC-00021,CUST011912,CLM048968,2026-06-28 20:35:30,PNG,970,id_document,NATIONAL IDENTITY DOCUMENT. Full Name: Brandy Chavez. ID Number: 337-19-9765. Date of Birth: 1950-11-16. Nationality: Namibian. Issued by Ministry of Home Affairs. Address updated on 2025-06-30. Additional photographic evidence submitted separately. Customer contacted via telephone for confirmation.,,1,0.687,LOW
DOC-00022,CUST005807,CLM029056,2026-05-20 20:35:30,PNG,3951,kyc_update,"KYC UPDATE FORM. Customer: Amanda Lutz. Previous Address: 6049 Bell Ports Apt. 273, West Meganstad, DE 37013. New Address: 998 Chelsea Shoals Suite 024, Sandrastad, AL 24278. Reason for change: relocation. Verified by staff member on 2025-02-08. Handled by branch office during standard working hours. Additional photographic evidence submitted separately.",,1,0.506,LOW
