Staff_ID,Staff_Name,DATE_OF_JOINING,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,claims_handled,fraud_claims_handled,fraud_rate_handled,employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,employee_origin_country,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,Insider_Risk_Label,Access_Time,Record_Accessed,Override_Activity,Investigation_Outcome
AGENT00001,Ray Johns,1993-06-05,1402 Maggies Way,,Waterbury Center,VT,5677,28.0,8.0,0.2857142857142857,Engineering Department,Campus B,Head of Engineering,8,0,2,0,0,0,Israel,1,0,34,0,0,0.0,0,0,0,0,0,0,2026-09-02 20:35:30.523071,CLM005808,No override recorded,No findings
AGENT00002,Angelo Borjon,2005-12-27,414 Tanya Pass,,Panama City,FL,32404,108.0,31.0,0.28703703703703703,Project Management,Campus B,Project Coordinator,12,0,1,1,0,0,Russia,28,0,9,0,0,0.0,0,2,1,0,0,0,2026-07-18 20:35:30.523165,CLM043756,No override recorded,No findings
AGENT00003,Candy Spellman,2003-09-02,606 National Street,#306,Fayetteville,AR,72701,57.0,16.0,0.2807017543859649,Marketing and Business Development,Campus C,Marketing Manager,16,0,3,0,0,0,USA,35,8,15,0,0,0.0,0,1,1,0,0,0,2026-07-09 20:35:30.523215,CLM007281,No override recorded,No findings
AGENT00004,Mary Smith,2004-09-23,235 Hugh Thomas Drive,,Panama City,FL,32404,35.0,7.0,0.2,Marketing and Business Development,Campus C,Marketing Manager,21,0,3,1,0,0,Ukraine,52,0,0,0,0,0.0,0,0,0,0,0,0,2026-09-02 20:35:30.523256,CLM007674,No override recorded,No findings
AGENT00005,Mildred Diaz,2011-06-21,3426 Broadview Street,,Montgomery,AL,36110,4.0,0.0,0.0,Engineering Department,Campus C,Secretary,10,0,3,1,0,0,USA,0,0,0,0,0,0.0,0,1,1,0,1,0,2026-05-06 20:35:30.523293,CLM041680,No override recorded,No findings
AGENT00006,Linda Butler,2000-09-02,10383 Eagle River Lane,,Anchorage,AK,99577,4.0,0.0,0.0,Information Technology,Campus C,Information Security Specialist,18,0,2,0,0,0,Ukraine,6,0,0,0,0,0.0,0,1,1,0,0,0,2026-06-13 20:35:30.523341,CLM035906,Approved above authority limit,No findings
AGENT00007,Michael Hoskins,1993-10-26,5011 West New World Drive,,Glendale,AZ,85302,1.0,1.0,1.0,Engineering Department,Campus A,Test Engineer,19,0,3,0,0,1,UK,0,0,27,0,0,0.0,0,0,0,0,0,0,2026-08-18 20:35:30.523384,CLM008666,No override recorded,No findings
AGENT00008,Carolyn Quesada,2003-11-15,2538 East 40th Plaza,,Panama City,FL,32405,74.0,14.0,0.1891891891891892,Project Management,Campus A,Project Engineer,8,0,2,0,0,1,Israel,31,0,0,0,0,0.0,0,0,0,0,0,0,2026-07-01 20:35:30.523420,CLM022397,No override recorded,No findings
AGENT00009,Marilyn Allen,2009-12-24,4840 Reservoir Road Northwest,,Washington,DC,20007,43.0,12.0,0.27906976744186046,Legal and Regulation,Campus B,Defense Export Compliance Officer,12,0,2,0,0,0,Israel,5,0,0,0,0,0.0,0,2,1,0,0,0,2026-05-15 20:35:30.523457,CLM016173,No override recorded,No findings
AGENT00010,Bernard Haug,1992-09-04,2278 North Windswept Lane,,Fayetteville,AR,72703,52.0,14.0,0.2692307692307692,Security and Information Security,Campus C,Chief Information Security Officer (CISO),15,1,4,0,0,0,China,4,0,0,0,0,0.0,0,1,1,0,0,0,2026-05-30 20:35:30.523493,CLM018227,No override recorded,No findings
AGENT00011,Nancy Coronado,2002-01-31,357 Chaplin Street Southeast,,Washington,DC,20019,0.0,0.0,0.0,Engineering Department,Campus A,Test Engineer,9,0,3,0,0,0,USA,12,0,0,0,0,0.0,0,0,0,0,0,0,2026-04-06 20:35:30.523527,N/A,No override recorded,No findings
AGENT00012,Jeffrey Forbis,2010-08-05,2619 North Quality Lane,#315,Fayetteville,AR,72703,154.0,40.0,0.2597402597402597,R&D Department,Campus A,Secretary,5,0,2,0,0,0,Israel,0,0,36,0,0,0.0,0,1,1,0,0,0,2026-08-06 20:35:30.523561,CLM021598,No override recorded,No findings
AGENT00013,Carolyn Jones,2004-06-03,6214 Herzog Street,,Oakland,CA,94608,75.0,20.0,0.26666666666666666,Information Technology,Campus B,Enterprise Systems Developer (ERP / CRM / SAP),26,0,1,0,0,0,Russia,0,0,38,0,0,0.0,0,1,1,0,0,0,2026-08-31 20:35:30.523596,CLM026158,No override recorded,No findings
AGENT00014,Larry Dryer,2005-02-22,6630 MacArthur Boulevard,#19,Oakland,CA,94605,10.0,4.0,0.4,Operations and Manufacturing,Campus C,Procurement Officer,21,0,1,0,0,0,Israel,11,0,0,0,0,0.0,0,1,1,0,0,0,2026-05-17 20:35:30.523628,CLM039410,Approved above authority limit,No findings
AGENT00015,Charles George,1998-01-31,4717 Forest Hills Drive,,Noble,OK,73068,6.0,0.0,0.0,Security and Information Security,Campus C,Physical Access Control,18,1,3,0,0,0,USA,8,0,0,0,0,0.0,0,0,0,0,0,0,2026-09-01 20:35:30.523662,CLM044370,No override recorded,Unsubstantiated
